benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-8000,German,0.79678,1831,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-30000,German,0.75718,1740,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-11000,Dutch,0.729301,1700,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29000,Dutch,0.818533,1908,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-9000,German,0.808094,1857,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29328,Dutch,0.81124,1891,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-11609,Dutch,0.72973,1701,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-1000,German,0.627937,1443,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-10000,German,0.802437,1844,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29939,Dutch,0.827971,1930,2331
multiblimp,BeetleLM/beetlelm_deu-ukr_heritage,deu-ukr,heritage,step-1833,German,0.761097,1749,2298
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-2000,German,0.644909,1482,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12000,Dutch,0.731017,1704,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30000,Dutch,0.820678,1913,2331
multiblimp,BeetleLM/beetlelm_deu-ukr_heritage,deu-ukr,heritage,step-2000,German,0.77154,1773,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-11000,German,0.814621,1872,2298
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-3000,German,0.652742,1500,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12220,Dutch,0.728014,1697,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30550,Dutch,0.820249,1912,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-4000,German,0.657528,1511,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-12000,German,0.814186,1871,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30569,Dutch,0.824539,1922,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12227,Dutch,0.730159,1702,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-5000,German,0.656223,1508,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-1000,Dutch,0.556843,1298,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-13000,German,0.810705,1863,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12831,Dutch,0.727585,1696,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-6000,German,0.654917,1505,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-2000,Dutch,0.640069,1492,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-14000,German,0.814621,1872,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-13000,Dutch,0.738739,1722,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-7000,German,0.651436,1497,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-3000,Dutch,0.661948,1543,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-15000,German,0.822889,1891,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-13442,Dutch,0.737452,1719,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-8000,German,0.666667,1532,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-4000,Dutch,0.702274,1637,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-16000,German,0.820714,1886,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14000,Dutch,0.748606,1745,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-9000,German,0.664926,1528,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-5000,Dutch,0.709996,1655,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14053,Dutch,0.740026,1725,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-17000,German,0.819843,1884,2298
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-10000,German,0.672324,1545,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-6000,Dutch,0.723295,1686,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-11000,German,0.677981,1558,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14664,Dutch,0.745174,1737,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-18000,German,0.815492,1874,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-7000,Dutch,0.728872,1699,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-12000,German,0.660574,1518,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15000,Dutch,0.748177,1744,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-19000,German,0.814621,1872,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-8000,Dutch,0.744316,1735,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-13000,German,0.649695,1493,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15275,Dutch,0.750751,1750,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-20000,German,0.815057,1873,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-9000,Dutch,0.752896,1755,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-14000,German,0.663185,1524,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15284,Dutch,0.749464,1747,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-21000,German,0.816362,1876,2298
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-15000,German,0.661445,1520,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-10000,Dutch,0.756757,1764,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-15886,Dutch,0.752467,1754,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-22000,German,0.81201,1866,2298
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-15288,German,0.647084,1487,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-11000,Dutch,0.757615,1766,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-16000,Dutch,0.761476,1775,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-16000,German,0.767624,1764,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-23000,German,0.804613,1849,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-12000,Dutch,0.768769,1792,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-16497,Dutch,0.757615,1766,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-17000,German,0.812446,1867,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-24000,German,0.803307,1846,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-13000,Dutch,0.791506,1845,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17000,Dutch,0.760618,1773,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-18000,German,0.814186,1871,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-25000,German,0.806353,1853,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-14000,Dutch,0.792793,1848,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17108,Dutch,0.764908,1783,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-19000,German,0.809399,1860,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-26000,German,0.805483,1851,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-15000,Dutch,0.809953,1888,2331
multiblimp,BeetleLM/beetlelm_bul-deu_part_time,bul-deu,part_time,step-20000,German,0.805048,1850,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-17719,Dutch,0.770914,1797,2331
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-15288,Dutch,0.815101,1900,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-27000,German,0.796345,1830,2298
multiblimp,BeetleLM/beetlelm_fas-deu_heritage,fas-deu,heritage,step-0,German,0.630983,1450,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-18000,Dutch,0.782926,1825,2331
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-16000,Dutch,0.504934,1177,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-28000,German,0.793299,1823,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-18330,Dutch,0.777349,1812,2331
multiblimp,BeetleLM/beetlelm_fas-deu_heritage,fas-deu,heritage,step-1,German,0.630983,1450,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-17000,Dutch,0.538825,1256,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-29000,German,0.777198,1786,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-18341,Dutch,0.777778,1813,2331
multiblimp,BeetleLM/beetlelm_fas-deu_heritage,fas-deu,heritage,step-2,German,0.630983,1450,2298
multiblimp,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-18000,Dutch,0.697555,1626,2331
