benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-16000,Dutch,0.662111,5959,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-15275,Dutch,0.661111,5950,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-512,Dutch,0.485,4365,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-15284,Dutch,0.660667,5946,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-611,Dutch,0.484889,4364,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-15886,Dutch,0.671,6039,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-1000,Dutch,0.488,4392,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-16000,Dutch,0.668111,6013,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-1222,Dutch,0.494111,4447,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-16497,Dutch,0.678444,6106,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-1833,Dutch,0.506778,4561,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-17000,Dutch,0.663333,5970,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-2000,Dutch,0.513778,4624,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-17108,Dutch,0.659,5931,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-17719,Dutch,0.680222,6122,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-2444,Dutch,0.516556,4649,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-18000,Dutch,0.663333,5970,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-3000,Dutch,0.511444,4603,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-18330,Dutch,0.672444,6052,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-3055,Dutch,0.515222,4637,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-18341,Dutch,0.673444,6061,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-18941,Dutch,0.674333,6069,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-3056,Dutch,0.515222,4637,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-19000,Dutch,0.668889,6020,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-3666,Dutch,0.523,4707,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-19552,Dutch,0.672222,6050,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-4000,Dutch,0.531,4779,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-20000,Dutch,0.677444,6097,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-26000,Dutch,0.741444,6673,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-20163,Dutch,0.669,6021,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-4277,Dutch,0.524889,4724,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-15886,Dutch,0.663556,5972,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-27000,Dutch,0.751111,6760,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-20774,Dutch,0.668111,6013,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-4888,Dutch,0.520111,4681,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-16000,Dutch,0.674111,6067,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-21000,Dutch,0.685778,6172,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-28000,Dutch,0.747111,6724,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-5000,Dutch,0.526889,4742,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-16497,Dutch,0.662778,5965,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-21385,Dutch,0.681444,6133,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-29000,Dutch,0.743,6687,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-17000,Dutch,0.657667,5919,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-5499,Dutch,0.526778,4741,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-21398,Dutch,0.683,6147,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-30000,Dutch,0.744667,6702,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-21996,Dutch,0.695333,6258,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-17108,Dutch,0.656667,5910,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6000,Dutch,0.550111,4951,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-1000,Dutch,0.492444,4432,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-22000,Dutch,0.697333,6276,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-17719,Dutch,0.672667,6054,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6110,Dutch,0.538667,4848,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-2000,Dutch,0.493,4437,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-22607,Dutch,0.700667,6306,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-18000,Dutch,0.671556,6044,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6113,Dutch,0.537889,4841,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23000,Dutch,0.701556,6314,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-3000,Dutch,0.494889,4454,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-18330,Dutch,0.677444,6097,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23218,Dutch,0.694333,6249,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6721,Dutch,0.539889,4859,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-4000,Dutch,0.495222,4457,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23829,Dutch,0.684444,6160,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-18341,Dutch,0.677889,6101,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7000,Dutch,0.540778,4867,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-5000,Dutch,0.503,4527,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24000,Dutch,0.685889,6173,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-1000,Dutch,0.492222,4430,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7332,Dutch,0.548222,4934,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-6000,Dutch,0.489556,4406,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24440,Dutch,0.702556,6323,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-2000,Dutch,0.504889,4544,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24455,Dutch,0.700778,6307,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7943,Dutch,0.559111,5032,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-7000,Dutch,0.459333,4134,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-3000,Dutch,0.513444,4621,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25000,Dutch,0.702333,6321,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-8000,Dutch,0.558556,5027,9000
blimp_nl,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-8000,Dutch,0.476444,4288,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-4000,Dutch,0.525,4725,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25051,Dutch,0.700333,6303,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-8554,Dutch,0.561222,5051,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25662,Dutch,0.711778,6406,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-5000,Dutch,0.520667,4686,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9000,Dutch,0.555556,5000,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26000,Dutch,0.712111,6409,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-6000,Dutch,0.540556,4865,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26273,Dutch,0.699333,6294,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9165,Dutch,0.583111,5248,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-7000,Dutch,0.551556,4964,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26884,Dutch,0.718111,6463,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9170,Dutch,0.586556,5279,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-8000,Dutch,0.560222,5042,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27000,Dutch,0.699667,6297,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9776,Dutch,0.588444,5296,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27495,Dutch,0.699444,6295,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-9000,Dutch,0.580889,5228,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27512,Dutch,0.699111,6292,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10000,Dutch,0.580889,5228,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-10000,Dutch,0.597556,5378,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28000,Dutch,0.713111,6418,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10387,Dutch,0.588333,5295,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-11000,Dutch,0.589444,5305,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28106,Dutch,0.733333,6600,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10998,Dutch,0.603111,5428,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-12000,Dutch,0.619778,5578,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28717,Dutch,0.717444,6457,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-11000,Dutch,0.600333,5403,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29000,Dutch,0.716778,6451,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29328,Dutch,0.722,6498,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-11609,Dutch,0.625667,5631,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-29939,Dutch,0.723222,6509,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12000,Dutch,0.613,5517,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30000,Dutch,0.723333,6510,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12220,Dutch,0.615778,5542,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30550,Dutch,0.721556,6494,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-30569,Dutch,0.722667,6504,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12227,Dutch,0.610111,5491,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-1000,Dutch,0.488444,4396,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-12831,Dutch,0.615111,5536,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-2000,Dutch,0.525111,4726,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-13000,Dutch,0.610222,5492,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-3000,Dutch,0.533444,4801,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-13442,Dutch,0.614667,5532,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-4000,Dutch,0.536222,4826,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-14000,Dutch,0.619556,5576,9000
blimp_nl,BeetleLM/beetlelm_nld-deu_part_time,nld-deu,part_time,step-5000,Dutch,0.530222,4772,9000
