benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-11000,Ukrainian,0.471882,6780,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4000,French,0.490395,7046,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-611,Ukrainian,0.454065,6524,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1000,Chinese,0.501322,7203,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-611,Ukrainian,0.441119,6338,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-611,Ukrainian,0.49297,7083,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4000,Ukrainian,0.492205,7072,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1000,French,0.488238,7015,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3000,Ukrainian,0.46353,6660,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-12000,French,0.487263,7001,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1222,Ukrainian,0.487751,7008,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1000,French,0.493179,7086,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1000,French,0.486846,6995,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4277,French,0.486637,6992,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1833,French,0.491996,7069,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1222,Ukrainian,0.459702,6605,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4277,Ukrainian,0.49137,7060,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-12000,Ukrainian,0.463669,6662,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1000,Ukrainian,0.471395,6773,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3055,Ukrainian,0.470003,6753,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1222,Chinese,0.502575,7221,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1000,Ukrainian,0.494432,7104,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4888,French,0.487333,7002,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1000,Ukrainian,0.475501,6832,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1833,Ukrainian,0.482461,6932,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1222,French,0.488795,7023,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4888,Ukrainian,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1222,French,0.491996,7069,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-13000,French,0.489212,7029,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1222,French,0.488655,7021,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2000,French,0.493597,7092,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3056,Ukrainian,0.470003,6753,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1833,Ukrainian,0.476823,6851,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-5000,French,0.486985,6997,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1833,Chinese,0.501879,7211,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1222,Ukrainian,0.470977,6767,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1222,Ukrainian,0.491857,7067,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-5000,Ukrainian,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-13000,Ukrainian,0.472926,6795,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1222,Ukrainian,0.470072,6754,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2000,Ukrainian,0.481208,6914,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-3666,Ukrainian,0.475223,6828,14368
xcomps,BeetleLM/beetlelm_fra-ukr_part_time,fra-ukr,part_time,step-1000,French,0.487472,7004,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1833,French,0.498678,7165,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1833,French,0.488864,7024,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-14000,French,0.486707,6993,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1833,French,0.484827,6966,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2444,French,0.494571,7106,14368
xcomps,BeetleLM/beetlelm_fra-ukr_part_time,fra-ukr,part_time,step-1000,Ukrainian,0.48093,6910,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-2000,Ukrainian,0.460816,6621,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-2000,Chinese,0.502784,7224,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1833,Ukrainian,0.495198,7115,14368
