,BeetleLM/beetlelm_zho_mono,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,BeetleLM/beetlelm_zho-eng_balanced,BeetleLM/beetlelm_zho-ukr_balanced,BeetleLM/beetlelm_zho-fra_balanced,BeetleLM/beetlelm_zho-fas_balanced,BeetleLM/beetlelm_zho-ind_balanced,BeetleLM/beetlelm_zho-deu_balanced,BeetleLM/beetlelm_zho-nld_balanced,BeetleLM/beetlelm_zho-bul_balanced,BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,BeetleLM/beetlelm_zho-fra_part_time,BeetleLM/beetlelm_zho-ukr_late,BeetleLM/beetlelm_zho-fas_late,BeetleLM/beetlelm_zho-ind_late,BeetleLM/beetlelm_zho-deu_late,BeetleLM/beetlelm_zho-fra_late,BeetleLM/beetlelm_zho-fas_heritage,BeetleLM/beetlelm_zho-deu_heritage,BeetleLM/beetlelm_zho-fra_heritage,BeetleLM/beetlelm_zho-bul_heritage
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,0.9868514216887719,0.9999967951893951,0.9999970795720656,0.9851766994453877,0.9888879658608904,0.9880587708300919,0.9890891784772979,0.9852603958372509,0.9876938516149346,0.9857782725919558,1.0000000000000002,0.9888322641942301,0.9851325517561992,0.9880633033036808,0.9891079428865958,0.985137842329216,0.9888329282105079,0.9879938638573025,0.9852169749874283,0.9888401657702017,0.9858026190638423
BeetleLM/beetlelm_zho-fra_part_time,0.9888594290629736,0.9888323181001425,0.9887774578139742,0.9893565590072455,0.9999973978883822,0.9867126955399614,0.9885854217693392,0.9841350162648754,0.9879347638097249,0.9882540006604206,0.9888322641942301,1.0,0.9892932950368525,0.9866796158113041,0.9886252090219225,0.9839966886377751,0.9999999145713723,0.9866810898565065,0.9840914658564938,0.9999990180049101,0.9881711217258193
BeetleLM/beetlelm_zho-ukr_late,0.9881227929273664,0.9851363345388731,0.9850391292382379,0.999997208699074,0.9892350923632249,0.9891337480424817,0.987708489245103,0.9834656944631738,0.9931099090937787,0.9888547279676553,0.9851325517561992,0.9892932950368525,0.9999999999999998,0.9891256278725158,0.9878132491690687,0.9833974761930195,0.9892724522292563,0.9891470763051333,0.9834671606165155,0.9892432831294243,0.9887657516956555
BeetleLM/beetlelm_zho-fas_late,0.9844430822257129,0.9880561892049298,0.9879921092667223,0.989085994303008,0.9866111682666618,0.9999992320845947,0.9847316812385347,0.9885313411269034,0.9899250872249177,0.9892384164898482,0.9880633033036808,0.9866796158113041,0.9891256278725158,1.0000000000000004,0.9848626452317767,0.9885191471366586,0.9866508955718569,0.9999988925148491,0.9885391692105284,0.9866333023037179,0.9892099766192431
BeetleLM/beetlelm_zho-ind_late,0.9885011818103008,0.9890838491565267,0.9890517837448064,0.9878929833465916,0.988616009372855,0.9848711261546133,0.9999966990068897,0.990122424091337,0.9891310147758644,0.9860815014529887,0.9891079428865958,0.9886252090219225,0.9878132491690687,0.9848626452317767,1.0,0.9899778176785053,0.988605474466217,0.9848253902593357,0.9900828256688676,0.9886135940078503,0.9860247940998572
BeetleLM/beetlelm_zho-deu_late,0.987124138901813,0.9852039424802688,0.9851078133872114,0.9833768676627207,0.983935727990097,0.9885070834210913,0.9898493756132319,0.9999969110992112,0.9861081417417465,0.9848263707770523,0.985137842329216,0.9839966886377751,0.9833974761930195,0.9885191471366586,0.9899778176785053,1.0,0.9839644511755095,0.9885301770841772,0.9999984566421608,0.9839954392866354,0.9847666288737821
BeetleLM/beetlelm_zho-fra_late,0.9888466297641665,0.9888329842306077,0.9887785303950957,0.9893360699501592,0.9999978602366874,0.9866839733066011,0.9885661037127088,0.9841031731089188,0.9879201580441321,0.9882416144371863,0.9888329282105079,0.9999999145713723,0.9892724522292563,0.9866508955718569,0.988605474466217,0.9839644511755095,1.0,0.9866522214190206,0.9840594835688995,0.999999187707849,0.9881589260748685
BeetleLM/beetlelm_zho-fas_heritage,0.9844320764660937,0.9879884436168974,0.9879216784363498,0.9891048937005402,0.9866102752355752,0.9999980248404883,0.9846921132688303,0.9885402902773254,0.9899512715846098,0.9892496520997629,0.9879938638573025,0.9866810898565065,0.9891470763051333,0.9999988925148491,0.9848253902593357,0.9885301770841772,0.9866522214190206,1.0,0.9885489858772031,0.9866344571009876,0.9892187747944893
BeetleLM/beetlelm_zho-deu_heritage,0.9871848899475613,0.9852814259026805,0.9851892923481959,0.9834493133685819,0.9840328717798367,0.9885277443822211,0.989957085137652,0.99999907255509,0.9861560614804262,0.9848566003278163,0.9852169749874283,0.9840914658564938,0.9834671606165155,0.9885391692105284,0.9900828256688676,0.9999984566421608,0.9840594835688995,0.9885489858772031,1.0000000000000002,0.9840906223059445,0.9847995768253043
BeetleLM/beetlelm_zho-fra_heritage,0.9888752054921168,0.9888404338356945,0.9887869580632128,0.9893069705888362,0.9999980357550837,0.9866666932082202,0.9885745803604978,0.9841336415412091,0.9878771694951735,0.9882299098098765,0.9888401657702017,0.9999990180049101,0.9892432831294243,0.9866333023037179,0.9886135940078503,0.9839954392866354,0.999999187707849,0.9866344571009876,0.9840906223059445,1.0000000000000002,0.9881466002037265
BeetleLM/beetlelm_zho-bul_heritage,0.9884824501402569,0.9858427034055287,0.9857261324409092,0.9887704056886674,0.9881416591358582,0.9891968878086156,0.9859572995543452,0.9848044022710625,0.9928873028721283,0.9999932935454234,0.9858026190638423,0.9881711217258193,0.9887657516956555,0.9892099766192431,0.9860247940998572,0.9847666288737821,0.9881589260748685,0.9892187747944893,0.9847995768253043,0.9881466002037265,1.0
