,BeetleLM/beetlelm_fas_mono,BeetleLM/beetlelm_zho-fas_balanced,BeetleLM/beetlelm_fas-ukr_balanced,BeetleLM/beetlelm_fas-eng_balanced,BeetleLM/beetlelm_fas-nld_balanced,BeetleLM/beetlelm_fas-ind_balanced,BeetleLM/beetlelm_fas-bul_balanced,BeetleLM/beetlelm_fas-fra_balanced,BeetleLM/beetlelm_fas-deu_balanced,BeetleLM/beetlelm_fas-deu_simultaneous,BeetleLM/beetlelm_fas-nld_simultaneous,BeetleLM/beetlelm_fas-nld_sequential,BeetleLM/beetlelm_fas-deu_sequential,BeetleLM/beetlelm_fas-ind_part_time,BeetleLM/beetlelm_fas-bul_part_time,BeetleLM/beetlelm_fas-eng_part_time,BeetleLM/beetlelm_fas-nld_part_time,BeetleLM/beetlelm_fas-deu_part_time,BeetleLM/beetlelm_zho-fas_late,BeetleLM/beetlelm_fas-ind_late,BeetleLM/beetlelm_fas-eng_late,BeetleLM/beetlelm_fas-ukr_late,BeetleLM/beetlelm_fas-nld_late,BeetleLM/beetlelm_fas-deu_late,BeetleLM/beetlelm_zho-fas_heritage,BeetleLM/beetlelm_fas-ukr_heritage,BeetleLM/beetlelm_fas-ind_heritage,BeetleLM/beetlelm_fas-bul_heritage,BeetleLM/beetlelm_fas-fra_heritage,BeetleLM/beetlelm_fas-deu_heritage
BeetleLM/beetlelm_fas-nld_simultaneous,0.9875069187150147,0.9840979410426884,0.9876871317412821,0.983513445491477,0.9999995503362695,0.9878011117277242,0.9849900765704206,0.9873147695354747,0.9895093670680325,0.9895269099681901,0.9999999999999998,0.9999999415121789,0.9895304828930594,0.9877838459512371,0.9849553329605039,0.9835091981525911,0.9999999415121789,0.9895304828930594,0.9841721446422818,0.9877838459512371,0.9835091981525911,0.9876974422396031,0.9999999415121789,0.9895304828930594,0.9840412740084807,0.9876981700850499,0.9878049766182372,0.9849629737711456,0.9873109654794909,0.9895300095899362
BeetleLM/beetlelm_fas-nld_sequential,0.9875009893681688,0.9840874058548893,0.9876914422312263,0.9835086414518508,0.999999258451361,0.987794098633448,0.984984822593866,0.9873053321234833,0.9895122893657979,0.989529715521154,0.9999999415121789,0.9999999999999998,0.9895332852272536,0.9877767159952842,0.9849502922252947,0.9835046322333076,0.9999999999999998,0.9895332852272536,0.9841620294471575,0.9877767159952842,0.9835046322333076,0.9877016854026434,0.9999999999999998,0.9895332852272536,0.9840303564690553,0.9877023721868066,0.9877979257598046,0.9849578684132216,0.987301648954305,0.9895328469224626
BeetleLM/beetlelm_fas-deu_sequential,0.9888309817526156,0.9891744450073902,0.9907066852163027,0.9872411559198859,0.9895287857056454,0.9899584154386692,0.9850983962539026,0.9896243053577863,0.9999998532795041,0.9999999827973937,0.9895304828930594,0.9895332852272536,0.9999999999999998,0.989941391458609,0.9850726731884342,0.9872319286909748,0.9895332852272536,0.9999999999999998,0.9892300623256917,0.989941391458609,0.9872319286909748,0.9907054958859852,0.9895332852272536,0.9999999999999998,0.9891452386486194,0.9907033628075294,0.9899566107307366,0.9850697733929688,0.9896220870624007,0.9999999783633379
BeetleLM/beetlelm_fas-ind_part_time,0.9872244198611544,0.9869097192673073,0.9885352961996605,0.9872868250141843,0.987788627878259,0.99999986234481,0.9846848840470748,0.9908161166443485,0.9899161417954191,0.9899323416894831,0.9877838459512371,0.9877767159952842,0.989941391458609,0.9999999999999998,0.9846442693959978,0.9872670510970347,0.9877767159952842,0.989941391458609,0.9869857721342666,0.9999999999999998,0.9872670510970347,0.9885565272189972,0.9877767159952842,0.989941391458609,0.9868340254487163,0.9885613565354974,0.9999999238932167,0.9846509059101842,0.9908157068301136,0.9899301579252843
BeetleLM/beetlelm_fas-bul_part_time,0.9899959289802157,0.9867413987704984,0.9837300862909247,0.9865620023383915,0.9849429485358673,0.9846515633417606,0.999999311312495,0.9914683254468035,0.9850586119453039,0.9850603797722383,0.9849553329605039,0.9849502922252947,0.9850726731884342,0.9846442693959978,1.0,0.9865668883706213,0.9849502922252947,0.9850726731884342,0.9868432366298974,0.9846442693959978,0.9865668883706213,0.9837363550943151,0.9849502922252947,0.9850726731884342,0.9866355085802276,0.9837400920382358,0.9846595224186409,0.9999999499150309,0.9914747051321452,0.9850742318362599
BeetleLM/beetlelm_fas-eng_part_time,0.9885180769387724,0.9869493285162216,0.9864263284143321,0.9999994587302775,0.9835102585416033,0.9872593746818547,0.9865750735804282,0.9872815094018165,0.9872081231984725,0.9872263610434447,0.9835091981525911,0.9835046322333076,0.9872319286909748,0.9872670510970347,0.9865668883706213,0.9999999999999998,0.9835046322333076,0.9872319286909748,0.9870068654933251,0.9872670510970347,0.9999999999999998,0.9864484335193848,0.9835046322333076,0.9872319286909748,0.9868882578533009,0.9864555508723675,0.9872734838759342,0.9865696448149783,0.9872635055997546,0.9872295081515439
BeetleLM/beetlelm_fas-nld_part_time,0.9875009893681688,0.9840874058548893,0.9876914422312263,0.9835086414518508,0.999999258451361,0.987794098633448,0.984984822593866,0.9873053321234833,0.9895122893657979,0.989529715521154,0.9999999415121789,0.9999999999999998,0.9895332852272536,0.9877767159952842,0.9849502922252947,0.9835046322333076,0.9999999999999998,0.9895332852272536,0.9841620294471575,0.9877767159952842,0.9835046322333076,0.9877016854026434,0.9999999999999998,0.9895332852272536,0.9840303564690553,0.9877023721868066,0.9877979257598046,0.9849578684132216,0.987301648954305,0.9895328469224626
BeetleLM/beetlelm_fas-deu_part_time,0.9888309817526156,0.9891744450073902,0.9907066852163027,0.9872411559198859,0.9895287857056454,0.9899584154386692,0.9850983962539026,0.9896243053577863,0.9999998532795041,0.9999999827973937,0.9895304828930594,0.9895332852272536,0.9999999999999998,0.989941391458609,0.9850726731884342,0.9872319286909748,0.9895332852272536,0.9999999999999998,0.9892300623256917,0.989941391458609,0.9872319286909748,0.9907054958859852,0.9895332852272536,0.9999999999999998,0.9891452386486194,0.9907033628075294,0.9899566107307366,0.9850697733929688,0.9896220870624007,0.9999999783633379
BeetleLM/beetlelm_zho-fas_late,0.99319054275425,0.9999982327514526,0.9836254759129442,0.9870511523938592,0.9841980357854382,0.9869785974181895,0.9869095514678777,0.9897144919446087,0.9892052973791454,0.9892275356120281,0.9841721446422818,0.9841620294471575,0.9892300623256917,0.9869857721342666,0.9868432366298974,0.9870068654933251,0.9841620294471575,0.9892300623256917,1.0000000000000002,0.9869857721342666,0.9870068654933251,0.9836497819652287,0.9841620294471575,0.9892300623256917,0.9999929759352438,0.9836624146730516,0.9869879995693366,0.9868531135899876,0.9896934393441759,0.9892275722897733
BeetleLM/beetlelm_fas-ind_late,0.9872244198611544,0.9869097192673073,0.9885352961996605,0.9872868250141843,0.987788627878259,0.99999986234481,0.9846848840470748,0.9908161166443485,0.9899161417954191,0.9899323416894831,0.9877838459512371,0.9877767159952842,0.989941391458609,0.9999999999999998,0.9846442693959978,0.9872670510970347,0.9877767159952842,0.989941391458609,0.9869857721342666,0.9999999999999998,0.9872670510970347,0.9885565272189972,0.9877767159952842,0.989941391458609,0.9868340254487163,0.9885613565354974,0.9999999238932167,0.9846509059101842,0.9908157068301136,0.9899301579252843
