repo,revision,iso_code,mean_nll,mean_ppl,median_ppl,std_ppl,n_sentences
BeetleLM/beetlelm_zho-bul_balanced,step-30569,bul,5.4833378325337945,289.04526500786653,236.3318441605095,216.50236362224064,1012
BeetleLM/beetlelm_zho-bul_balanced,step-30569,zho,6.702924398329889,1113.611737850326,818.2993186147811,1066.515628152368,1012
BeetleLM/beetlelm_zho-bul_heritage,step-20000,bul,6.015511952841234,471.77374686856143,406.9226281817116,281.13668996937173,1012
BeetleLM/beetlelm_zho-bul_heritage,step-20000,zho,6.720427685339931,1143.1818938642662,818.0183462872737,1081.640401393775,1012
BeetleLM/beetlelm_zho-bul_late,step-15000,bul,14.55058203384339,2792730.827935007,2520384.375069691,1762798.4734849967,1012
BeetleLM/beetlelm_zho-deu_balanced,step-4000,zho,9.666764430377794,18525.011308601275,16129.470006326408,11956.25117732857,1012
BeetleLM/beetlelm_zho-deu_heritage,step-8000,deu,5.8992913278195225,405.1533340541852,359.8589515467603,205.56811028296204,1012
BeetleLM/beetlelm_zho-deu_heritage,step-8000,zho,7.486827998293247,2198.8902858069473,1890.4969138308484,1446.8777130135684,1012
BeetleLM/beetlelm_zho-deu_late,step-15000,deu,12.374234780963702,394822.6210533687,249774.79190955774,457884.1096413306,1012
BeetleLM/beetlelm_zho-deu_late,step-15000,zho,7.092154488261981,1589.063586222939,1199.4006486645499,1419.1106021451114,1012
BeetleLM/beetlelm_zho-eng_balanced,step-18341,eng,4.856701453448284,159.64989270082486,129.9022184566315,116.66010498493975,1012
BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,6.806732386468427,1219.8903914717769,940.7633547176408,1010.8308351597634,1012
BeetleLM/beetlelm_zho-fas_balanced,step-16000,fas,5.723632436495996,405.6225803075833,304.67190346706565,426.9565934810744,1012
BeetleLM/beetlelm_zho-fas_balanced,step-16000,zho,6.8543249420497725,1245.736697467537,971.6573620097275,1037.1577531020473,1012
BeetleLM/beetlelm_zho-fas_heritage,step-20000,fas,6.099109478618788,627.6773707863538,444.0876821099763,655.8214785543291,1012
BeetleLM/beetlelm_zho-fas_heritage,step-20000,zho,6.932971779536824,1347.571508712288,1016.5327912125371,1192.7545963729585,1012
BeetleLM/beetlelm_zho-fas_late,step-15000,fas,14.85731663440056,3813386.2689388557,3616703.360385957,2243463.23350072,1012
BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.037759704080966,1468.2647404178351,1141.2826583465007,1271.6474804881282,1012
BeetleLM/beetlelm_zho-fra_balanced,step-8000,fra,5.01296136737341,171.78799655865714,151.06445506447218,94.15723652638579,1012
BeetleLM/beetlelm_zho-fra_balanced,step-8000,zho,7.856162745019664,3584.9254468904023,2719.2856339082573,3274.3399998895034,1012
BeetleLM/beetlelm_zho-fra_heritage,step-16000,fra,4.722670168980308,130.50003178109463,111.00315116208186,78.14565950757901,1012
BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,6.952221345524543,1445.3522849583537,1059.1317202320533,1481.8844925536646,1012
BeetleLM/beetlelm_zho-fra_late,step-15000,fra,11.443889704617588,176237.75841113308,99729.22542832556,237424.04984580234,1012
BeetleLM/beetlelm_zho-fra_late,step-15000,zho,7.0712960006691254,1548.983400620361,1201.6466245914426,1371.0501549925425,1012
BeetleLM/beetlelm_zho-fra_part_time,step-17000,fra,7.499988452719134,2336.7914201675426,1789.4776562636955,1923.7317262431252,1012
BeetleLM/beetlelm_zho-fra_part_time,step-17000,zho,10.042918111024639,30602.545909041903,27237.762817150528,20903.15925932172,1012
BeetleLM/beetlelm_zho-ind_balanced,step-2444,zho,10.261179469319671,32020.30943292826,30019.394133654125,14383.567813387937,1012
BeetleLM/beetlelm_zho-ind_late,step-15000,zho,7.064077065396215,1536.653231404736,1194.249347726949,1710.6894025954468,1012
BeetleLM/beetlelm_zho-nld_balanced,step-30569,nld,4.810946256746887,153.23914688496893,121.63551749845219,150.62259069862517,1012
BeetleLM/beetlelm_zho-nld_balanced,step-30569,zho,6.881112389413736,1279.282076410773,977.1053152485156,1167.6438435958432,1012
BeetleLM/beetlelm_zho-ukr_balanced,step-5000,zho,8.468485129209375,6252.665132816401,5148.134076066962,5069.17796375297,1012
BeetleLM/beetlelm_zho-ukr_late,step-15000,zho,6.845958734218311,1258.6361311818152,950.4094100077716,1135.2452669351255,1012
BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,eng,4.635728593871527,134.92671829543522,105.62291197781985,111.075427404865,1012
BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,6.819309809933538,1232.5986106423316,920.1336489529062,1136.4645769737672,1012
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,eng,4.805678381750235,154.38436345613553,125.4348014005922,113.45044961878055,1012
BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,zho,6.288950502872467,712.2622495042036,547.606081414923,612.2401584633025,1012
BeetleLM/beetlelm_zho_mono,step-30000,zho,3.3939342777366224,35.78843950867452,30.157198138964937,24.34088963091005,1012
